Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0331.3-6155,12.734758,1791.2703,2.1366028E-13,6.613324E-10,7.348525E-12,1.6433489,2.076541,2.076541,3.862584E-09,1.5669105E-09,4.3905019E-10,1.9009977E-10,2.7518533E-11,61.945957,bcu
3FGL J0332.0+6308,8.517828,1217.4679,7.29636E-13,8.6561125E-10,1.0755207E-11,1.5138146,2.3309948,2.3309948,1.4748735E-08,3.3159373E-09,8.960455E-10,1.2827725E-10,3.7671477E-11,70.82762,bcu
3FGL J0333.4+7853,9.64628,1545.9282,2.5705428E-13,5.569668E-10,6.3709008E-12,0.5954074,2.1976414,2.1976414,5.416122E-09,2.1536561E-09,2.6694835E-10,1.363307E-10,3.6230317E-11,48.209705,bcu
3FGL J0333.4+4003,5.031695,1804.4883,1.3552804E-13,4.0900058E-10,4.770494E-12,2.5955255,2.2376707,2.2376707,1.1526809E-13,8.1752777E-10,5.671593E-10,8.1076604E-11,4.561409E-15,44.946995,bcu
3FGL J0338.5+1303,11.906937,5846.91,2.6865002E-14,7.396576E-10,1.00757016E-11,1.8108709,1.694618,1.694618,1.6529188E-11,7.4780904E-10,5.775735E-10,2.6331293E-10,1.02872495E-10,58.875557,bcu
3FGL J0339.2-1738,9.882341,2692.8252,8.3204365E-14,5.9705346E-10,6.824018E-12,1.7700032,1.9280758,1.9280758,2.0699293E-09,1.7706188E-09,3.2892572E-10,1.8534226E-10,5.290667E-11,52.292686,bcu
3FGL J0342.6-3006,4.7285247,4204.3164,1.105142E-14,1.8132866E-10,2.1682417E-12,0.49614757,1.8455938,1.8455938,1.6486092E-14,4.436178E-10,6.555363E-11,7.1194134E-11,1.6793364E-11,36.916744,bcu
3FGL J0343.3-6443,13.940566,1314.6833,5.3082685E-13,8.2534957E-10,9.29351E-12,0.70522773,2.1540487,2.1540487,4.547045E-09,2.8187355E-09,4.9686905E-10,1.9126567E-10,3.5434097E-11,85.632515,bcu
3FGL J0343.3+3622,5.3207865,974.3254,6.7513356E-13,4.4391626E-10,6.0227795E-12,0.12958439,2.4263618,2.4263618,1.0482242E-08,1.6398484E-09,2.3864322E-10,6.804272E-11,2.5132816E-11,32.590424,bcu
3FGL J0352.9+5655,7.5899005,5808.7124,1.8453856E-14,5.4525723E-10,6.5761003E-12,2.1204898,1.8330698,1.8330698,2.113047E-14,1.8293572E-13,5.69106E-10,1.5651319E-10,6.698072E-11,41.860916,bcu
3FGL J0354.1+4643,5.201781,1085.7323,5.934736E-13,5.2221416E-10,6.7718426E-12,0.98272055,2.3803182,2.3803182,8.287012E-09,2.28755E-09,3.7303957E-10,9.7296296E-11,1.7326694E-11,50.736607,bcu
3FGL J0356.3-6948,4.747449,671.5118,1.0772499E-12,2.5707572E-10,3.9251285E-12,0.09236169,2.5295923,2.5295923,6.1629835E-09,7.5956547E-10,3.4713973E-10,3.334227E-15,6.468748E-12,44.32814,bcu
3FGL J0357.1+2325,5.5227313,1126.3772,4.1075533E-13,3.873217E-10,5.1753753E-12,0.6137414,2.4113765,2.4113765,8.720652E-09,1.8544262E-09,1.236256E-10,7.718892E-11,2.765142E-11,40.704563,bcu
